id,lnTE.WT,wt_TE,geneSymbol,Nm_AUG_status
uc001abz.4,0.635457316,1.887885304,NOC2L,AUG
uc001aci.2,1.136212842,3.114949194,HES4,AUG
uc001acj.4,1.272820573,3.570910385,ISG15,AUG
uc001ack.2,0.614253596,1.848276524,AGRN,AUG
uc001adh.4,0.624914529,1.868086283,SDF4,AUG
uc001adk.3,0.47771253,1.612381905,B3GALT6,AUG
uc001ado.3,0.596575423,1.815889487,UBE2J2,AUG
uc001aeb.2,1.07396681,2.926967224,ACAP3,AUG
uc001aed.3,0.91354586,2.49314723,PUSL1,AUG
uc001aee.2,1.056318662,2.875764816,CPSF3L,AUG
uc001aer.4,0.136569402,1.146334433,DVL1,AUG
uc001afi.2,0.695201466,2.004112794,CCNL2,AUG
uc001afo.4,0.347788833,1.41593322,MRPL20,AUG
uc001afv.3,0.889219779,2.433230453,ATAD3B,AUG
uc001afz.2,0.900696025,2.461315652,ATAD3A,AUG
uc001agd.3,0.193464171,1.213445909,SSU72,AUG
uc001agv.1,1.145791911,3.144930876,CDK11B,AUG
uc001aie.3,0.089210386,1.093310649,NADK,AUG
uc001aif.3,0.101226324,1.106527047,GNB1,AUG
uc001aiq.3,0.788499253,2.200092166,PRKCZ,AUG
uc001aja.4,0.899223196,2.457693224,SKI,AUG
uc001aje.2,0.134982037,1.144516225,RER1,AUG
uc001ajg.3,0.494308258,1.63936383,PEX10,AUG
uc001ajm.1,1.071069409,2.918498901,PANK4,AUG
uc001akg.4,1.03023456,2.80172293,ARHGEF16,AUG
uc001akm.3,1.154178869,3.171418198,TPRG1L,AUG
uc001ako.3,1.262369335,3.533784295,WRAP73,AUG
uc001akx.1,0.531818148,1.702024029,LRRC47,AUG
uc001alf.3,0.550242265,1.733672975,C1orf174,AUG
uc001aly.2,1.159299709,3.187700177,KCNAB2,AUG
uc001amd.3,-0.164056111,0.848694399,RPL22,AUG
uc001amk.3,-1.132218981,0.322317246,ICMT,AUG
uc001amt.3,1.388264407,4.007887951,ACOT7,AUG
uc001ans.3,0.166816882,1.181537885,NOL9,AUG
uc001aoa.3,0.780104473,2.181700182,KLHL21,AUG
